Key,Source,Context,UsedInMainMenu,NoTranslate,english
doughs_BrownBook_010Desc,,items,book,newKey,"Within you will marvel at the amazing diversity of life found in tide pools\nTheir fragile ecosystem is constantly being rebuilt with every rise and fall of the tide...."
doughs_BrownBook_011,,items,book,newKey,"Don't Eat Yellow Dough"
doughs_BrownBook_011Desc,,items,book,newKey,"...A delightful cozy mystery about a local pastry chef solving a murder involving a very suspicious package found in the old house she is renovating to make room for her new bakery and a strange cat that befriended her. Written by: Stu. F. FinMuffins"
doughs_BrownBook_012,,items,book,newKey,"Shamway Soup for the Soul"
doughs_BrownBook_012Desc,,items,book,newKey,"101 stories of perseverance showing how much you have to gain by giving it all and letting it all go.\n'A Delightful read!' - Frederick Kreugerman"
doughs_BrownBook_013,,items,book,newKey,"Coming to Terms With Death"
doughs_BrownBook_013Desc,,items,book,newKey,"A compilation of true life stories by Frank Stein. After the short journey of life, most people and their loved ones find they are still not prepared for the final days.\nThese 7 stories of what it's like to experience the death of a loved one will hopefully prepare you for your eventual crossing over into the unknown realm... "
doughs_BrownBook_014,,items,book,newKey,"7 Days to a Better You!"
doughs_BrownBook_014Desc,,items,book,newKey,"Join Dr. Zed Walker as he gives you tips and exercises to take you from a shambling groaning mess to a lean, mean, exercising machine!\nLearn how to eat better and maximize your potential!"
doughs_BrownBook_015,,items,book,newKey,"7 Days to Fry"
doughs_BrownBook_015Desc,,items,book,newKey,"(This cookbook appears to have delicious recipes, but it looks like all of them contain ingredients I'm unlikely to find anymore.)"
doughs_BrownBook_016,,items,book,newKey,"7 Ways to Try"
doughs_BrownBook_016Desc,,items,book,newKey,"Is your child afraid of the dark?  If so, these 7 techniques will help you coax your child to be comfortable sleeping alone with the light off"
doughs_BrownBook_017,,items,book,newKey,"7 Filets to Buy"
doughs_BrownBook_017Desc,,items,book,newKey,"Join in world renowned Chef Zed Hungerman as he samples different fish from the 7 seas.  Includes recipes!  Al you have to do is provide the exotic fish!"
doughs_BrownBook_018,,items,book,newKey,"7 Glades to Scry"
doughs_BrownBook_018Desc,,items,book,newKey,"An autobiography about the famous water dowser Jon Z Ombie and his life finding water in places you wouldn't believe!"
doughs_UselessItem_Base,,items,Quest - Note,--,"Broken lock pick"
doughs_UselessItem_Base,,items,Quest - Note,--,"Be Safe Son! - Love, Dad"
doughs_UselessItem_LockPick,,items,Quest - Note,--,"Broken lock pick"
doughs_UselessItem_LockPickDesc,,items,Quest - Note,--,"One side is engraved....\nBe Safe Son! - Love, Dad"
doughs_UselessItem_CrazyStraw,,items,Quest - Note,--,"Crazy Fun Straw(TM)"
doughs_UselessItem_CrazyStrawDesc,,items,Quest - Note,--,"Have a SIP-pable fun time with this zip-zappity roundabout roller coaster of a time Fun Straw(TM)!"
doughs_UselessItem_LintFluff,,items,Quest - Note,--,"Fluffy Lint Ball"
doughs_UselessItem_LintFluffDesc,,items,Quest - Note,--,"A rather impressive collection of lint. Something only a crazy person would have."
doughs_UselessItem_BoardGameMoney,,items,Quest - Note,--,"Navezopoly(TM) Money"
doughs_UselessItem_BoardGameMoneyDesc,,items,Quest - Note,--,"Thousands of dollars of colorful play money."
doughs_UselessItem_LabelingTape,,items,Quest - Note,--,"Shamway Labeling Tape"
doughs_UselessItem_LabelingTapeDesc,,items,Quest - Note,--,"A low quality label tape"
doughs_UselessItem_WrappingPaperRibbon,,items,Quest - Note,--,"Wrapping Paper Ribbon"
doughs_UselessItem_WrappingPaperRibbonDesc,,items,Quest - Note,--,"A small spool of ribbon.  The kind your grandma collects and never parts with"
doughs_UselessItem_CellophaneTape,,items,Quest - Note,--,"Navezotch(TM) brand Tape"
doughs_UselessItem_CellophaneTapeDesc,,items,Quest - Note,--,"A quality clear cellophane tape.  A thousand uses!\nFrom wrapping gifts to sealing envelopes, Navezotch(TM) brand clear cellophane tape was a handy item to have around until everyone died."
doughs_UselessItem_SprayTan,,items,Quest - Note,--,"Can of Spray Tan"
doughs_UselessItem_SprayTanDesc,,items,Quest - Note,--,"You might want to keep this around in case you run into someone special."
doughs_UselessItem_AirFreshener,,items,Quest - Note,--,"Air Freshener"
doughs_UselessItem_AirFreshenerDesc,,items,Quest - Note,--,"There is no way this is enough air freshener...\ngiving what you've been eating recently."
doughs_UselessItem_BugBomb,,items,Quest - Note,--,"Everything Must Die!(TM) Brand Bug Bomb"
doughs_UselessItem_BugBombDesc,,items,Quest - Note,--,"An empty can of bug killer.  You almost want to keep this to put on a windowsill."
doughs_UselessItem_TinyCandy,,items,Quest - Note,--,"Tiny Piece of Candy"
doughs_UselessItem_TinyCandyDesc,,items,Quest - Note,--,"Not worth eating, but reminds you of happier times when you would eat these by the handfull."
doughs_UselessItem_JarOfUrine,,items,Quest - Note,--,"Jar of Urine"
doughs_UselessItem_JarOfUrineDesc,,items,Quest - Note,--,"Curiously, you are still holding this.  I mean, sure you might be able to find a use for it\nBut just make some yourself."
doughs_UselessItem_Empty35mmFilmCanister,,items,Quest - Note,--,"35mm File Canister"
doughs_UselessItem_Empty35mmFilmCanisterDesc,,items,Quest - Note,--,"A neat little container if you just needed to store a few grapes.\nGrapes. Do grapes even exist anymore?"
doughs_UselessItem_EmptyCardboardBox,,items,Quest - Note,--,"Empty Cardboard Box"
doughs_UselessItem_EmptyCardboardBoxDesc,,items,Quest - Note,--,"You could use this to put things in, but you don't want to."
doughs_UselessItem_DollhouseSizedChemistryStation,,items,Quest - Note,--,"Tiny Chemistry Station"
doughs_UselessItem_DollhouseSizedChemistryStationDesc,,items,Quest - Note,--,"A very tiny, well crafted chemistry station that would fit perfectly in a child's doll house.\nYou start to wonder if its just Chemistry Stations all the way down, ya know?"
doughs_UselessItem_DollhouseSizedWorkbench,,items,Quest - Note,--,"Tiny Workbench Station"
doughs_UselessItem_DollhouseSizedWorkbenchDesc,,items,Quest - Note,--,"A very tiny, well crafted workbench.  Probably some kids parent made it for them to play with in their doll house made out of little blocks\nAwww."
doughs_UselessItem_DollhouseSizedTableSaw,,items,Quest - Note,--,"Tiny Table Saw"
doughs_UselessItem_DollhouseSizedTableSawDesc,,items,Quest - Note,--,"A non operational table saw made out of wood and glue.\nThis likely went into a doll house or well crafted grade school diorama."
doughs_UselessItem_PetRock,,items,Quest - Note,--,"Pet Rock"
doughs_UselessItem_PetRockDesc,,items,Quest - Note,--,"OMG! Count Rockula, is that YOU!? Oh. No... it looks like it's someone else's pet rock. The similarities are incredible\nThey could literally be brothers."
doughs_UselessItem_ToyBeaker,,items,Quest - Note,--,"Toy Beaker"
doughs_UselessItem_ToyBeakerDesc,,items,Quest - Note,--,"A cheaply made plastic beaker for... you have no idea."
doughs_UselessItem_HotWaterBag,,items,Quest - Note,--,"Hot Water Bag"
doughs_UselessItem_HotWaterBagDesc,,items,Quest - Note,--,"A rubber bag filled with water that you heated up, back in the day.  Like, a few weeks ago."
doughs_UselessItem_BlueberryPieDish,,items,Quest - Note,--,"Blueberry Pie Dish"
doughs_UselessItem_BlueberryPieDishDesc,,items,Quest - Note,--,"A ceramic dish that looks remarkably like a real blueberry pie.\nOf course, you would put the real pie inside to keep it fresh and pretty, but that seems kinda pointless now."
doughs_UselessItem_ToyExpandingFoam,,items,Quest - Note,--,"Expanding Foam Toy"
doughs_UselessItem_ToyExpandingFoamDesc,,items,Quest - Note,--,"Remember putting these in water and watching a monster emerge, and you would be victorious!  Well, no ones around who is going to get any joy from this anymore."
doughs_UselessItem_IncenseStickBundle,,items,Quest - Note,--,"Bundle of Incense"
doughs_UselessItem_IncenseStickBundleDesc,,items,Quest - Note,--,"You could burn this, but I doubt you'll smell anything good."
doughs_UselessItem_ToyPickUpSticksBundle,,items,Quest - Note,--,"Pick Up Sticks Toy"
doughs_UselessItem_ToyPickUpSticksBundleDesc,,items,Quest - Note,--,"What genius gives a kid a bunch of cheap sticks to 'pick up'?  A great one.  He dead tho."
doughs_UselessItem_TwistyTiesBundle,,items,Quest - Note,--,"Bundle of Twisty Ties"
doughs_UselessItem_TwistyTiesBundleDesc,,items,Quest - Note,--,"Great for bundling wires together, if you cared at all about proper cable management, you monster."
doughs_UselessItem_OldTowel_001,,items,Quest - Note,--,"Old Towel"
doughs_UselessItem_OldTowel_001Desc,,items,Quest - Note,--,"A smelly old towel.  Someones butt was likely recently wiped on this."
doughs_UselessItem_OldTowel_002,,items,Quest - Note,--,"Old Nasty Towel"
doughs_UselessItem_OldTowel_002Desc,,items,Quest - Note,--,"This towel has seen better days.  Like looooong ago.\nBest to wash your hands."
doughs_UselessItem_OldTowel_003,,items,Quest - Note,--,"Disgusting Towel"
doughs_UselessItem_OldTowel_003Desc,,items,Quest - Note,--,"Someone wiped up a mess with this.  Who picks this up and looks at it? What are you, a cat?"
doughs_UselessItem_OldTowel_004,,items,Quest - Note,--,"Nice Towel"
doughs_UselessItem_OldTowel_004Desc,,items,Quest - Note,--,"A rather nice towel with the initial 'A' on it in a golden script."
doughs_UselessItem_OldTowel_005,,items,Quest - Note,--,"Towel"
doughs_UselessItem_OldTowel_005Desc,,items,Quest - Note,--,"An impressive towel specimen.\nCome to think of it, you don't see a lot of towels this nice nowadays.\nIt's like nobody died in it."
doughs_UselessItem_TeaTowel_001,,items,Quest - Note,--,"Tea Towel"
doughs_UselessItem_TeaTowel_001Desc,,items,Quest - Note,--,"A cute little tea towel with a picture of a pink pig on it going 'OINK!'.\nHuh. You might soon be the last person alive who remembers what pigs looked like."
doughs_UselessItem_TeaTowel_002,,items,Quest - Note,--,"Dish Towel"
doughs_UselessItem_TeaTowel_002Desc,,items,Quest - Note,--,"Flimsy dish towel."
doughs_UselessItem_TeaTowel_003,,items,Quest - Note,--,"Hand Towel"
doughs_UselessItem_TeaTowel_003Desc,,items,Quest - Note,--,"A well made hand towel.  You feel like Royalty holding it in your hand.\nWhat a day to be alive."
doughs_UselessItem_TeaTowel_004,,items,Quest - Note,--,"Small Towel"
doughs_UselessItem_TeaTowel_004Desc,,items,Quest - Note,--,"This towel would have gone so well with the linens in your last house!"
doughs_UselessItem_TeaTowel_005,,items,Quest - Note,--,"Small Microfiber Towel"
doughs_UselessItem_TeaTowel_005Desc,,items,Quest - Note,--,"You could use this to keep your computer screen free of dust."
doughs_UselessItem_ToyWheel,,items,Quest - Note,--,"Toy Wheel"
doughs_UselessItem_ToyWheelDesc,,items,Quest - Note,--,"Some sort of wheel to something really small like a toy.\nDon't get me wrong, it looks REALLY BIG in your hands but no ... its quite small."
doughs_UselessItem_ChairWheel,,items,Quest - Note,--,"Chair Wheel"
doughs_UselessItem_ChairWheelDesc,,items,Quest - Note,--,"This is a wheel to a chair.\nYou normally don't keep these when you take apart chairs and now is not the time to start."
doughs_UselessItem_FancyChildsBelt,,items,Quest - Note,--,"Children's Belt"
doughs_UselessItem_FancyChildsBeltDesc,,items,Quest - Note,--,"A very expensive belt made for a child\nSomething to be worn only for special occasions.\nIt doesn't fit you so its trash, much like all the crap you keep picking up."
doughs_UselessItem_Lipstick_001,,items,Quest - Note,--,"Lipstick"
doughs_UselessItem_Lipstick_001Desc,,items,Quest - Note,--,"A very fancy purple lipstick by Navezalene.\nThis is something you might put on for a night out on the town with all your friend.\n(That is not a typo)"
doughs_UselessItem_Lipstick_002,,items,Quest - Note,--,"Lipstick"
doughs_UselessItem_Lipstick_002Desc,,items,Quest - Note,--,"A very fancy red lipstick by Navezalene.\nYou don't need it because you look cute enough covered in blood splatters.\nRawr!"
doughs_UselessItem_Lipstick_003,,items,Quest - Note,--,"Lipstick"
doughs_UselessItem_Lipstick_003Desc,,items,Quest - Note,--,"A very fancy green lipstick by Navezalene.\nYou used to wear this color on special occasions back in the day before you started shooting everything that moves."
doughs_UselessItem_HobbyClock_001,,items,Quest - Note,--,"U-Build-It Hobby Kit: Clock"
doughs_UselessItem_HobbyClock_001Desc,,items,Quest - Note,--,"A really cool hobby clock kit! AMaZe your friends as they watch the numbers change all by themselves without assistance!\nLearn about electronics and time!\nAges 6 and Up\nHuh. Includes everything except you giving a damn putting it together."
doughs_UselessItem_CeramicMug_001,,items,Quest - Note,--,"Ceramic coffee mug"
doughs_UselessItem_CeramicMug_001Desc,,items,Quest - Note,--,"ITS MONDAY!?"
doughs_UselessItem_CeramicMug_002,,items,Quest - Note,--,"Ceramic coffee mug"
doughs_UselessItem_CeramicMug_002Desc,,items,Quest - Note,--,"CSS Formatting Is Awe    some"
doughs_UselessItem_CeramicMug_003,,items,Quest - Note,--,"Ceramic coffee mug"
doughs_UselessItem_CeramicMug_003Desc,,items,Quest - Note,--,"World's Best Dad!"
doughs_UselessItem_CeramicMug_004,,items,Quest - Note,--,"Ceramic coffee mug"
doughs_UselessItem_CeramicMug_004Desc,,items,Quest - Note,--,"World's Best Mom!"
doughs_UselessItem_CeramicMug_005,,items,Quest - Note,--,"Ceramic coffee mug"
doughs_UselessItem_CeramicMug_005Desc,,items,Quest - Note,--,"World's Biggest Richard!"
doughs_UselessItem_CeramicMug_006,,items,Quest - Note,--,"Ceramic coffee mug"
doughs_UselessItem_CeramicMug_006Desc,,items,Quest - Note,--,"#GonnaLiveForever!"
